,from,to,timestep,cb,co,ram,iva,ALBE,ALDE,AT,BE,CZ,DE,FR,HR,HU,NL,PL,RO,SI,SK
0,AT,CZ,2022/09/17 22:00:00,LTA AT - CZ,LTA AT - CZ,349,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0
1,AT,HU,2022/09/17 22:00:00,LTA AT - HU,LTA AT - HU,400,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0
2,AT,SI,2022/09/17 22:00:00,LTA AT - SI,LTA AT - SI,599,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0
3,BE,DE,2022/09/17 22:00:00,LTA BE - DE,LTA BE - DE,400,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0
4,CZ,AT,2022/09/17 22:00:00,LTA CZ - AT,LTA CZ - AT,300,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0
5,CZ,DE,2022/09/17 22:00:00,LTA CZ - DE,LTA CZ - DE,950,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
6,CZ,PL,2022/09/17 22:00:00,LTA CZ - PL,LTA CZ - PL,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0
7,CZ,SK,2022/09/17 22:00:00,LTA CZ - SK,LTA CZ - SK,800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1
8,DE,BE,2022/09/17 22:00:00,LTA DE - BE,LTA DE - BE,400,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0
9,DE,CZ,2022/09/17 22:00:00,LTA DE - CZ,LTA DE - CZ,320,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0
10,DE,PL,2022/09/17 22:00:00,LTA DE - PL,LTA DE - PL,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0
11,HU,AT,2022/09/17 22:00:00,LTA HU - AT,LTA HU - AT,500,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0
12,HU,SI,2022/09/17 22:00:00,LTA HU - SI,LTA HU - SI,200,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0
13,HU,SK,2022/09/17 22:00:00,LTA HU - SK,LTA HU - SK,850,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1
14,HU,HR,2022/09/17 22:00:00,LTA HU - HR,LTA HU - HR,700,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0
15,HU,RO,2022/09/17 22:00:00,LTA HU - RO,LTA HU - RO,470,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0
16,HR,HU,2022/09/17 22:00:00,LTA HR - HU,LTA HR - HU,600,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0
17,HR,SI,2022/09/17 22:00:00,LTA HR - SI,LTA HR - SI,650,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0
18,PL,CZ,2022/09/17 22:00:00,LTA PL - CZ,LTA PL - CZ,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0
19,PL,DE,2022/09/17 22:00:00,LTA PL - DE,LTA PL - DE,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0
20,PL,SK,2022/09/17 22:00:00,LTA PL - SK,LTA PL - SK,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
21,RO,HU,2022/09/17 22:00:00,LTA RO - HU,LTA RO - HU,630,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0
22,SI,AT,2022/09/17 22:00:00,LTA SI - AT,LTA SI - AT,599,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0
23,SI,HR,2022/09/17 22:00:00,LTA SI - HR,LTA SI - HR,650,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0
24,SI,HU,2022/09/17 22:00:00,LTA SI - HU,LTA SI - HU,200,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0
25,SK,CZ,2022/09/17 22:00:00,LTA SK - CZ,LTA SK - CZ,700,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
26,SK,HU,2022/09/17 22:00:00,LTA SK - HU,LTA SK - HU,850,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
27,SK,PL,2022/09/17 22:00:00,LTA SK - PL,LTA SK - PL,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1
28,AT,DE,2022/09/17 22:00:00,LTA AT - DE,LTA AT - DE,4819,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0
29,BE,NL,2022/09/17 22:00:00,LTA BE - NL,LTA BE - NL,619,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0
30,BE,FR,2022/09/17 22:00:00,LTA BE - FR,LTA BE - FR,450,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
31,DE,AT,2022/09/17 22:00:00,LTA DE - AT,LTA DE - AT,4820,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0
32,DE,FR,2022/09/17 22:00:00,LTA DE - FR,LTA DE - FR,1000,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0
33,DE,NL,2022/09/17 22:00:00,LTA DE - NL,LTA DE - NL,1081,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0
34,FR,BE,2022/09/17 22:00:00,LTA FR - BE,LTA FR - BE,1600,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
35,FR,DE,2022/09/17 22:00:00,LTA FR - DE,LTA FR - DE,1170,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0
36,NL,BE,2022/09/17 22:00:00,LTA NL - BE,LTA NL - BE,619,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0
37,NL,DE,2022/09/17 22:00:00,LTA NL - DE,LTA NL - DE,1080,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0
