ALBE,ALDE,AT,BE,CZ,DE,FR,HR,HU,NL,PL,RO,SI,SK
-0.05364,-0.05397,-0.05045,-0.05357,-0.01574,-0.05415,-0.05245,-0.00096,0.00217,-0.05359,-0.0215,0.0002,-0.00286,-0.00278
0.02663,0.02657,0.04054,0.02666,0.02501,0.02682,0.02681,0.01268,-0.01278,0.02652,0.01528,-0.00108,0.02158,0.00627
-0.04012,-0.04044,-0.08143,-0.04003,-0.03471,-0.04253,-0.03882,0.02899,-0.01565,-0.04024,-0.03071,-0.00163,0.04934,-0.0244
0.03541,0.03606,0.07455,0.03521,0.03624,0.03844,0.03299,-0.03698,0.01965,0.03581,0.03155,0.00214,-0.07883,0.0277
-0.03541,-0.03606,-0.07455,-0.03521,-0.03624,-0.03844,-0.03299,0.03698,-0.01965,-0.03581,-0.03155,-0.00214,0.07883,-0.0277
-0.08287,-0.08336,0.01322,-0.08279,-0.02379,-0.08337,-0.08096,-0.00055,0.00267,-0.0827,-0.03295,0.00024,-0.00276,-0.00447
-0.05389,-0.05308,-0.07997,-0.05416,-0.0233,-0.05507,-0.05633,0.00758,-0.0031,-0.05301,-0.02472,-0.00028,0.01134,-0.01064
-0.03804,-0.0379,0.07068,-0.03811,-0.01255,-0.04465,-0.03789,0.00318,-0.00089,-0.03762,-0.01555,-9e-05,0.00463,-0.00502
-0.04325,-0.04309,0.06484,-0.04333,-0.01427,-0.05077,-0.04309,0.00362,-0.00102,-0.04278,-0.01769,-0.00011,0.00527,-0.00571
-0.04154,-0.03348,0.0979,-0.04388,0.00058,-0.00383,-0.06391,-0.00331,0.00219,-0.03575,-0.00412,0.00025,-0.00635,0.00158
-0.03986,-0.0424,0.06978,-0.03901,-0.20852,-0.04403,-0.03156,0.0315,-0.00824,-0.04246,-0.08661,-0.00114,0.04525,-0.07915
0.03986,0.0424,-0.06978,0.03901,0.20852,0.04403,0.03156,-0.0315,0.00824,0.04246,0.08661,0.00114,-0.04525,0.07915
-0.15607,-0.15622,-0.20723,-0.15607,-0.16221,-0.15807,-0.15544,-0.04901,0.04179,-0.15585,-0.09041,0.00354,-0.09649,-0.01886
-0.0349,-0.03444,-0.07833,-0.03506,-0.01443,-0.03571,-0.03629,0.00096,0.00011,-0.03437,-0.0151,8e-05,-3e-05,-0.0051
-0.00536,-0.00405,-0.04896,-0.00577,0.01144,-0.00745,-0.00933,-0.007,0.00383,-0.00423,0.00607,0.00039,-0.01182,0.00693
0.00224,0.00346,-0.0486,0.00187,0.01329,-0.00075,-0.00154,-0.00709,0.0037,0.00324,0.00871,0.00038,-0.01182,0.00747
0.05786,0.05777,-0.0713,0.05797,0.01449,0.03649,0.05729,-0.00322,0.00062,0.05703,0.02025,7e-05,-0.00444,0.00569
-0.10176,-0.10127,-0.00839,-0.10199,-0.03305,-0.11646,-0.10172,0.0083,-0.00229,-0.10054,-0.04118,-0.00024,0.01204,-0.01319
-0.22089,-0.06418,0.00566,-0.20556,-0.00888,-0.01871,0.11125,0.00481,-0.00206,-0.11184,-0.01231,-0.00024,0.00807,-0.00502
0.22089,0.06418,-0.00566,0.20556,0.00888,0.01871,-0.11125,-0.00481,0.00206,0.11184,0.01231,0.00024,-0.00807,0.00502
-0.40939,-0.03524,0.00276,0.12979,-0.00416,-0.00864,0.04933,0.00225,-0.00096,-0.0281,-0.00577,-0.00011,0.00377,-0.00235
-0.52257,0.04283,-0.00316,-0.27515,0.00475,0.00975,-0.05716,-0.00256,0.0011,0.01732,0.00656,0.00013,-0.0043,0.00268
-0.4765,0.06797,-0.00515,-0.261,0.00787,0.0162,-0.09485,-0.00425,0.00182,0.04183,0.01086,0.00021,-0.00712,0.00443
0.47748,-0.05826,0.00459,0.22273,-0.00685,-0.01422,0.08028,0.0037,-0.00158,-0.04662,-0.0095,-0.00019,0.0062,-0.00386
0.52257,-0.04283,0.00316,0.27515,-0.00475,-0.00975,0.05716,0.00256,-0.0011,-0.01732,-0.00656,-0.00013,0.0043,-0.00268
0.4765,-0.06797,0.00515,0.261,-0.00787,-0.0162,0.09485,0.00425,-0.00182,-0.04183,-0.01086,-0.00021,0.00712,-0.00443
-0.08552,0.03316,-0.00441,-0.18148,0.00633,0.01416,-0.07926,-0.00344,0.00146,0.16996,0.00904,0.00017,-0.00576,0.00361
0.08552,-0.03316,0.00441,0.18148,-0.00633,-0.01416,0.07926,0.00344,-0.00146,-0.16996,-0.00904,-0.00017,0.00576,-0.00361
0.0,0.0,0.00451,0.22487,-0.00679,-0.01406,0.08062,0.00367,-0.00157,-0.04227,-0.00941,-0.00018,0.00615,-0.00383
-0.1803,-0.18467,-0.05421,-0.17883,0.14249,-0.18714,-0.16598,-0.01235,0.00898,-0.18478,-0.06852,0.00095,-0.02245,0.01578
0.02247,0.02276,0.01561,0.02237,0.0252,0.02289,0.02146,0.00538,-0.00165,0.02276,0.03697,-0.00025,0.00823,-0.02001
0.01924,0.01937,0.01884,0.0192,0.02752,0.01964,0.01881,0.00631,-0.00321,0.01933,0.01166,-0.00041,0.00994,-0.03026
-0.01924,-0.01937,-0.01884,-0.0192,-0.02752,-0.01964,-0.01881,-0.00631,0.00321,-0.01933,-0.01166,0.00041,-0.00994,0.03026
-0.04963,-0.05063,0.01363,-0.04935,-0.01739,-0.04899,-0.0466,0.0005,0.0013,-0.0502,-0.02253,0.00011,-0.00032,-0.00378
-0.04963,-0.05063,0.01363,-0.04935,-0.01739,-0.04899,-0.0466,0.0005,0.0013,-0.0502,-0.02253,0.00011,-0.00033,-0.00378
-0.01482,0.00325,-0.00142,-0.01985,0.01404,0.01116,-0.0611,-0.00786,0.00374,-0.00302,0.01373,0.00043,-0.01349,0.00758
-0.01144,0.02546,0.0135,-0.02111,0.0091,-0.01349,-0.08118,-0.00717,0.00366,0.01242,0.00917,0.00042,-0.01256,0.00619
0.00583,0.01056,-0.0336,0.0045,0.00782,0.01798,-0.00774,-0.00361,0.00161,0.00882,0.00811,0.00018,-0.00602,0.00387
-0.05563,-0.04423,-0.02615,-0.05932,0.02307,-0.03581,-0.08392,-0.00986,0.00429,-0.04393,0.02281,0.0005,-0.01649,0.01064
-0.03905,-0.03147,0.04349,-0.04124,0.00054,-0.0036,-0.06007,-0.00311,0.00206,-0.0336,-0.00387,0.00024,-0.00597,0.00149
-0.05754,-0.04738,-0.02291,-0.06173,0.01929,-0.0079,-0.08402,-0.00878,0.00368,-0.04026,0.02327,0.00043,-0.0146,0.0096
-0.0507,0.01766,-0.01347,-0.06814,0.02066,0.0056,-0.14085,-0.01085,0.00478,-0.0022,0.02532,0.00056,-0.01828,0.01118
0.07143,-0.06242,0.00564,0.10107,-0.01586,-0.0214,0.19004,0.00858,-0.00386,-0.00022,-0.01878,-0.00045,0.01453,-0.00867
0.2982,-0.17478,-0.00032,0.25336,-0.00449,0.00063,0.08241,0.00232,-0.00111,0.28593,-0.00384,-0.00013,0.00399,-0.00226
0.06645,0.09577,-0.01463,0.05898,0.01443,0.00011,-0.00891,-0.0078,0.00329,0.0799,0.02089,0.00039,-0.01303,0.00823
-0.10354,-0.0635,-0.00914,-0.1028,0.00716,0.0114,-0.05852,-0.00412,0.00159,-0.1792,0.01372,0.00019,-0.00677,0.00453
0.24697,0.47543,0.00933,0.22158,-0.01282,-0.01875,0.12859,0.0067,-0.00288,0.20238,-0.01694,-0.00034,0.01123,-0.00702
0.1803,0.18467,0.05421,0.17883,-0.14249,0.18714,0.16598,0.01235,-0.00898,0.18478,0.06852,-0.00095,0.02245,-0.01578
-0.12127,-0.12975,-0.02531,-0.11903,0.02395,-0.05895,-0.10238,-0.00937,0.00388,-0.12628,0.02445,0.00046,-0.01552,0.01058
0.04301,0.044,0.01914,0.04259,0.00849,0.04142,0.03909,0.00653,-0.00125,0.04458,-0.05043,-0.00018,0.00998,-0.0072
-0.01619,-0.01556,-0.02127,-0.01659,-0.04731,-0.02943,-0.01943,-0.00791,9e-05,-0.01429,0.09612,0.0001,-0.01126,0.00919
-0.07456,-0.03901,0.00232,-0.09451,-0.00727,-0.01427,0.16213,0.00399,-0.00176,-0.0609,-0.0093,-0.00021,0.00674,-0.00407
0.04902,0.04868,0.04908,0.04912,0.04413,0.04826,0.05018,0.03105,0.03474,0.04873,0.04203,0.00564,0.06636,0.03923
0.04902,0.04868,0.04908,0.04912,0.04413,0.04826,0.05018,0.02644,0.03474,0.04873,0.04203,0.00564,0.06636,0.03923
-0.04723,-0.0464,-0.0424,-0.04749,-0.03545,-0.04518,-0.05011,0.06887,-0.02278,-0.04655,-0.03403,-0.00318,-0.09498,-0.02852
0.04723,0.0464,0.0424,0.04749,0.03545,0.04518,0.05011,-0.06887,0.02278,0.04655,0.03403,0.00318,0.09498,0.02852
0.02682,0.02661,0.02653,0.02689,0.0238,0.02634,0.02755,0.06279,0.01846,0.02665,0.02267,0.00293,0.03674,0.021
0.26135,0.26152,0.26709,0.26129,0.26527,0.26196,0.26073,0.2275,0.26465,0.26146,0.25721,0.00845,0.25684,0.25948
0.16951,0.17044,0.1696,0.16921,0.18509,0.17161,0.16631,0.00352,0.22072,0.17028,0.18441,0.01151,0.11308,0.19521
0.07409,0.07214,0.06892,0.07471,0.04506,0.06951,0.08083,0.05684,0.00591,0.07248,0.04034,-0.00239,0.21952,0.02434
-0.00487,-0.00261,-0.06977,-0.00562,0.03671,-0.00161,-0.01247,-0.08917,0.10158,-0.00264,0.0906,0.00507,-0.11014,0.19586
-0.06353,-0.06274,-0.09486,-0.0638,-0.05812,-0.06279,-0.06616,-0.06784,0.13374,-0.06268,-0.00938,0.00521,-0.09293,0.00397
0.00487,0.00261,0.06977,0.00562,-0.03671,0.00161,0.01247,0.08917,-0.10158,0.00264,-0.0906,-0.00507,0.11014,-0.19586
0.02599,0.02592,0.04004,0.02602,0.02436,0.02614,0.02622,0.01301,-0.01255,0.02587,0.01397,-0.00105,0.02204,0.0036
0.04644,0.04647,0.0572,0.04643,0.048,0.0468,0.04631,0.02281,-0.00571,0.0464,0.03516,-0.00245,0.03683,0.03168
0.04559,0.04563,0.0558,0.04559,0.04705,0.04595,0.04546,0.0228,-0.00783,0.04557,0.03515,-0.00249,0.03609,0.03167
0.07302,0.07468,0.03605,0.07247,0.11487,0.07591,0.0674,-0.02006,-0.04709,0.07457,0.1174,-0.00053,-0.01347,0.22377
-0.07,-0.07004,-0.07888,-0.07,-0.08093,-0.0705,-0.06986,-0.04031,0.10991,-0.06996,-0.0478,0.00382,-0.06014,-0.07585
-0.07302,-0.07468,-0.03605,-0.07247,-0.11487,-0.07591,-0.0674,0.02006,0.04709,-0.07457,-0.1174,0.00053,0.01347,-0.22377
0.04435,0.04203,0.06262,0.04509,0.00406,0.03982,0.05225,0.12181,-0.06352,0.04234,-0.00588,-0.00683,0.2024,-0.03507
-0.04435,-0.04203,-0.06262,-0.04509,-0.00406,-0.03982,-0.05225,-0.12181,0.06352,-0.04234,0.00588,0.00683,-0.2024,0.03507
0.06619,0.01907,0.00365,0.07628,-0.0037,-0.01029,0.03695,0.00205,-0.00083,0.2173,-0.00608,-0.0001,0.0034,-0.0022
-0.01018,-0.01062,0.00396,-0.01003,0.00814,-0.01034,-0.00869,0.00441,0.00236,-0.01069,-0.06896,0.00017,0.00516,0.00132
-0.01322,-0.01372,0.00311,-0.01304,0.00717,-0.01344,-0.01148,0.00432,0.00252,-0.0138,-0.07601,0.00019,0.00493,0.00157
-0.10552,-0.10691,-0.07135,-0.10504,-0.09005,-0.10686,-0.10075,-0.03209,-0.00425,-0.10699,-0.24689,-0.00015,-0.04436,0.00985
0.10552,0.10691,0.07135,0.10504,0.09005,0.10686,0.10075,0.03209,0.00425,0.10699,0.24689,0.00015,0.04436,-0.00985
-0.04263,-0.04336,-0.02213,-0.04239,-0.01504,-0.04367,-0.04027,-0.00746,0.00134,-0.04329,0.10628,0.0002,-0.01131,0.00876
0.04914,0.0504,0.01565,0.04868,-0.03329,0.04881,0.0447,0.00047,-0.00719,0.05068,0.25075,-0.00078,0.0036,-0.02252
0.04914,0.0504,0.01565,0.04868,-0.01667,0.04881,0.0447,0.00047,-0.00719,0.05068,0.25075,-0.00078,0.0036,-0.02252
-0.0393,-0.03935,-0.03917,-0.03928,-0.04012,-0.03941,-0.03912,-0.03229,-0.0435,-0.03934,-0.04033,0.01476,-0.0364,-0.04098
0.21589,0.21612,0.21572,0.21581,0.2199,0.21642,0.21508,0.18269,0.23725,0.21609,0.21972,-0.0955,0.2026,0.22315
-0.08626,-0.08604,-0.0883,-0.08633,-0.0836,-0.08584,-0.08702,-0.11137,-0.07907,-0.08606,-0.07884,0.22083,-0.09849,-0.07753
0.04546,0.0458,0.04307,0.04536,0.04975,0.04612,0.04433,0.00628,0.05959,0.04576,0.05538,0.42245,0.02728,0.05782
-0.04546,-0.0458,-0.04307,-0.04536,-0.04975,-0.04612,-0.04433,-0.00628,-0.05959,-0.04576,-0.05538,-0.42245,-0.02728,-0.05782
-0.03646,-0.03683,-0.07321,-0.03635,-0.03319,-0.03878,-0.03501,0.02889,-0.01566,-0.03664,-0.02913,-0.00164,0.04934,-0.02387
0.10185,0.10377,0.17055,0.10128,0.12108,0.10868,0.095,-0.08571,0.04906,0.10318,0.09684,0.00443,-0.13994,0.08587
0.03646,0.03683,0.07321,0.03635,0.03319,0.03878,0.03501,-0.02889,0.01566,0.03664,0.02913,0.00164,-0.04934,0.02387
0.09809,0.09872,0.09802,0.09791,0.16171,0.10025,0.09601,0.03092,-0.01682,0.09848,0.04942,-0.00197,0.04921,-0.06306
0.15064,0.15156,0.13865,0.15034,0.16862,0.15241,0.14752,0.07017,0.00481,0.15146,0.17053,-0.00868,0.09907,0.19845
0.16929,0.17051,0.14468,0.16889,0.17252,0.171,0.16515,0.08715,0.04159,0.17049,0.24343,0.00425,0.11023,0.22751
-0.15035,-0.15272,-0.08807,-0.14955,-0.16149,-0.15374,-0.14232,-0.02577,0.01266,-0.1527,-0.23214,0.00165,-0.04161,0.06488
-0.15078,-0.15324,-0.08511,-0.14996,-0.15441,-0.15411,-0.14249,-0.02552,0.01084,-0.15324,-0.25071,0.00144,-0.04072,0.06013
-0.15079,-0.15324,-0.08512,-0.14996,-0.15441,-0.15411,-0.1425,-0.02553,0.01084,-0.15325,-0.25072,0.00144,-0.04072,0.06013
-0.12574,-0.12802,-0.0635,-0.12497,-0.1263,-0.12874,-0.11804,-0.01304,0.01564,-0.12804,-0.22418,0.00185,-0.02468,0.08424
-0.13727,-0.139,-0.10757,-0.13672,-0.20302,-0.14085,-0.13148,-0.01894,0.0346,-0.13877,-0.14545,0.00264,-0.03909,-0.20296
0.1533,0.1537,0.15705,0.15319,0.17845,0.15464,0.15199,0.09258,0.02313,0.15355,0.11986,-0.0061,0.12339,0.11649
-0.09809,-0.09872,-0.09802,-0.09791,-0.16171,-0.10025,-0.09601,-0.03092,0.01682,-0.09848,-0.04942,0.00197,-0.04921,0.06306
0.09675,0.0975,0.09237,0.09652,0.15764,0.09899,0.09424,0.02618,-0.01893,0.09727,0.05883,-0.00187,0.0434,-0.0666
-0.16929,-0.17051,-0.14468,-0.16889,-0.17252,-0.171,-0.16515,-0.08715,-0.04159,-0.17049,-0.24343,-0.00425,-0.11023,-0.22751
0.15035,0.15272,0.08807,0.14955,0.16149,0.15374,0.14232,0.02577,-0.01266,0.1527,0.23214,-0.00165,0.04161,-0.06488
0.15078,0.15324,0.08511,0.14996,0.15441,0.15411,0.14249,0.02552,-0.01084,0.15324,0.25071,-0.00144,0.04072,-0.06013
0.15079,0.15324,0.08512,0.14996,0.15441,0.15411,0.1425,0.02553,-0.01084,0.15325,0.25072,-0.00144,0.04072,-0.06013
0.14771,0.15009,0.08468,0.14691,0.15681,0.15107,0.13966,0.02418,-0.01262,0.15008,0.23258,-0.00158,0.03939,-0.06396
0.12574,0.12802,0.0635,0.12497,0.1263,0.12874,0.11804,0.01304,-0.01564,0.12804,0.22418,-0.00185,0.02468,-0.08424
0.13727,0.139,0.10757,0.13672,0.20302,0.14085,0.13148,0.01894,-0.0346,0.13877,0.14545,-0.00264,0.03909,0.20296
0.13538,0.13672,0.11574,0.13496,0.19347,0.13838,0.13088,0.03389,-0.02364,0.1365,0.12784,-0.00317,0.05587,0.1835
0.26135,0.26152,0.26709,0.26129,0.26527,0.26196,0.26073,0.2275,0.26465,0.26146,0.25721,0.00845,0.25684,0.25948
0.16951,0.17044,0.1696,0.16921,0.18509,0.17161,0.16631,0.00352,0.22072,0.17028,0.18441,0.01151,0.11308,0.19521
